Superseded file (original path),Date,Kept instead (newer),Kept date
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_Annual_Precip_121925.aix",2025-12-19,Mid-Century/Annual/MC_SSP245_AK_Annual_Precip_012226.aix,2026-01-22
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_Annual_Precip_121925.jpg",2025-12-19,Mid-Century/Annual/MC_SSP245_AK_Annual_Precip_012226.jpg,2026-01-22
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_DJF_Precip_121925.aix",2025-12-19,Mid-Century/Winter (DJF)/MC_SSP245_AK_DJF_Precip_012226.aix,2026-01-23
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_DJF_Precip_121925.jpg",2025-12-19,Mid-Century/Winter (DJF)/MC_SSP245_AK_DJF_Precip_012226.jpg,2026-01-23
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_JJA_Precip_121925.aix",2025-12-19,Mid-Century/Summer (JJA)/MC_SSP245_AK_JJA_Precip_012226.aix,2026-01-23
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_JJA_Precip_121925.jpg",2025-12-19,Mid-Century/Summer (JJA)/MC_SSP245_AK_JJA_Precip_012226.jpg,2026-01-23
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_MAM_Precip_121925.aix",2025-12-19,Mid-Century/Spring (MAM)/MC_SSP245_AK_MAM_Precip_012226.aix,2026-01-23
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_MAM_Precip_121925.jpg",2025-12-19,Mid-Century/Spring (MAM)/MC_SSP245_AK_MAM_Precip_012226.jpg,2026-01-23
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_SON_Precip_121925.aix",2025-12-19,Mid-Century/Fall (SON)/MC_SSP245_AK_SON_Precip_012226.aix,2026-01-23
"Mid Century, SSP245/Alaska/121925/MC_SSP245_AK_SON_Precip_121925.jpg",2025-12-19,Mid-Century/Fall (SON)/MC_SSP245_AK_SON_Precip_012226.jpg,2026-01-23
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_Annual_Precip_052725.aix",2025-05-27,Mid-Century/Annual/MC_SSP245_CONUS_Annual_Precip_121525.aix,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_Annual_Precip_052725.jpg",2025-05-27,Mid-Century/Annual/MC_SSP245_CONUS_Annual_Precip_121525.jpg,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_DJF_Precip_052725.aix",2025-05-27,Mid-Century/Winter (DJF)/MC_SSP245_CONUS_DJF_Precip_121525.aix,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_DJF_Precip_052725.jpg",2025-05-27,Mid-Century/Winter (DJF)/MC_SSP245_CONUS_DJF_Precip_121525.jpg,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_JJA_Precip_052725.aix",2025-05-27,Mid-Century/Summer (JJA)/MC_SSP245_CONUS_JJA_Precip_121525.aix,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_JJA_Precip_052725.jpg",2025-05-27,Mid-Century/Summer (JJA)/MC_SSP245_CONUS_JJA_Precip_121525.jpg,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_MAM_Precip_052725.aix",2025-05-27,Mid-Century/Spring (MAM)/MC_SSP245_CONUS_MAM_Precip_121525.aix,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_MAM_Precip_052725.jpg",2025-05-27,Mid-Century/Spring (MAM)/MC_SSP245_CONUS_MAM_Precip_121525.jpg,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_SON_Precip_052725.aix",2025-05-27,Mid-Century/Fall (SON)/MC_SSP245_CONUS_SON_Precip_121525.aix,2025-12-15
"Mid Century, SSP245/CONUS/MC_SSP245_CONUS_SON_Precip_052725.jpg",2025-05-27,Mid-Century/Fall (SON)/MC_SSP245_CONUS_SON_Precip_121525.jpg,2025-12-15
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_Annual_Precip_011426.aix",2026-01-14,Mid-Century/Annual/MC_SSP245_PRUSVI_Annual_Precip_031326.aix,2026-03-13
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_Annual_Precip_011426.jpg",2026-01-14,Mid-Century/Annual/MC_SSP245_PRUSVI_Annual_Precip_031326.jpg,2026-03-13
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_DJF_Precip_011426.aix",2026-01-14,Mid-Century/Winter (DJF)/MC_SSP245_PRUSVI_DJF_Precip_070626.aix,2026-07-06
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_DJF_Precip_011426.jpg",2026-01-14,Mid-Century/Winter (DJF)/MC_SSP245_PRUSVI_DJF_Precip_070626.jpg,2026-07-06
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_JJA_Precip_011426.aix",2026-01-14,Mid-Century/Summer (JJA)/MC_SSP245_PRUSVI_JJA_Precip_031326.aix,2026-03-13
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_JJA_Precip_011426.jpg",2026-01-14,Mid-Century/Summer (JJA)/MC_SSP245_PRUSVI_JJA_Precip_031326.jpg,2026-03-13
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_MAM_Precip_011426.aix",2026-01-14,Mid-Century/Spring (MAM)/MC_SSP245_PRUSVI_MAM_Precip_031326.aix,2026-03-13
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_MAM_Precip_011426.jpg",2026-01-14,Mid-Century/Spring (MAM)/MC_SSP245_PRUSVI_MAM_Precip_031326.jpg,2026-03-13
"Mid Century, SSP245/Caribbean/011426/MC_SSP245_PRUSVI_SON_Precip_011426.aix",2026-01-14,Mid-Century/Fall (SON)/MC_SSP245_PRUSVI_SON_Precip_031326.aix,2026-03-13
"Mid Century, SSP245/Caribbean/031326/MC_SSP245_PRUSVI_DJF_Precip_031326.aix",2026-03-13,Mid-Century/Winter (DJF)/MC_SSP245_PRUSVI_DJF_Precip_070626.aix,2026-07-06
"Mid Century, SSP245/Caribbean/031326/MC_SSP245_PRUSVI_DJF_Precip_031326.jpg",2026-03-13,Mid-Century/Winter (DJF)/MC_SSP245_PRUSVI_DJF_Precip_070626.jpg,2026-07-06
"Mid Century, SSP245/Caribbean/121925/MC_SSP245_PRUSVI_Annual_Precip_121925.aix",2025-12-19,Mid-Century/Annual/MC_SSP245_PRUSVI_Annual_Precip_031326.aix,2026-03-13
