File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
MC_SSP126_AK_JJA_Precip_070526.aix,"Alaska, Mid-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Alaska,Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,2026-07-05,
MC_SSP126_AK_JJA_Precip_070526.jpg,"Alaska, Mid-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (JPEG preview image)",Alaska,Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,2026-07-05,
MC_SSP126_Caribbean_JJA_Precip_070626.aix,"Caribbean (Puerto Rico & U.S. Virgin Islands), Mid-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Caribbean (Puerto Rico & U.S. Virgin Islands),Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,2026-07-07,
MC_SSP126_Caribbean_JJA_Precip_070626.jpg,"Caribbean (Puerto Rico & U.S. Virgin Islands), Mid-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (JPEG preview image)",Caribbean (Puerto Rico & U.S. Virgin Islands),Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,2026-07-07,
MC_SSP126_HI_JJA_Precip_070626.aix,"Hawaii, Mid-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Hawaii,Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,2026-07-06,
MC_SSP126_HI_JJA_Precip_070626.jpg,"Hawaii, Mid-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (JPEG preview image)",Hawaii,Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,2026-07-06,
MC_SSP126_JJA_Annual_Precip_062926.aix,"Contiguous U.S. (CONUS), Mid-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Contiguous U.S. (CONUS),Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,2026-06-30,"name irregularity: 'JJA' in region slot + 'Annual'; read as CONUS, season=JJA"
MC_SSP126_JJA_Annual_Precip_062926.jpg,"Contiguous U.S. (CONUS), Mid-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (JPEG preview image)",Contiguous U.S. (CONUS),Mid-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,2026-06-30,"name irregularity: 'JJA' in region slot + 'Annual'; read as CONUS, season=JJA"
MC_SSP245_AK_JJA_Precip_012226.aix,"Alaska, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Alaska,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2026-01-23,
MC_SSP245_AK_JJA_Precip_012226.jpg,"Alaska, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Alaska,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2026-01-23,
MC_SSP245_CONUS_JJA_Precip_052725.ai,"Contiguous U.S. (CONUS), Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (Adobe Illustrator source)",Contiguous U.S. (CONUS),Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),Adobe Illustrator source,2025-08-13,
MC_SSP245_CONUS_JJA_Precip_121525.aix,"Contiguous U.S. (CONUS), Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Contiguous U.S. (CONUS),Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-12-15,
MC_SSP245_CONUS_JJA_Precip_121525.jpg,"Contiguous U.S. (CONUS), Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Contiguous U.S. (CONUS),Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-12-15,
MC_SSP245_CO_JJA_Precip_052725.aix,"Colorado, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Colorado,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_CO_JJA_Precip_052725.jpg,"Colorado, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Colorado,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_HI_JJA_Precip_070626.aix,"Hawaii, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Hawaii,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2026-07-06,
MC_SSP245_HI_JJA_Precip_070626.jpg,"Hawaii, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Hawaii,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2026-07-06,
MC_SSP245_IA_JJA_Precip_052725.aix,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_IA_JJA_Precip_052725.jpg,"Iowa, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Iowa,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_IL_JJA_Precip_052725.aix,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_IL_JJA_Precip_052725.jpg,"Illinois, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Illinois,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_IN_JJA_Precip_052725.aix,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_IN_JJA_Precip_052725.jpg,"Indiana, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Indiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_KS_JJA_Precip_052725.aix,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_KS_JJA_Precip_052725.jpg,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_KS_JJA_Precip_053025.ai,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (Adobe Illustrator source)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),Adobe Illustrator source,2025-05-30,
MC_SSP245_KY_JJA_Precip_052725.aix,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_KY_JJA_Precip_052725.jpg,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_MI_JJA_Precip_052725.aix,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_MI_JJA_Precip_052725.jpg,"Michigan, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Michigan,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_MN_JJA_Precip_052725.aix,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_MN_JJA_Precip_052725.jpg,"Minnesota, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Minnesota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_MO_JJA_Precip_052725.aix,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_MO_JJA_Precip_052725.jpg,"Missouri, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Missouri,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_ND_JJA_Precip_052725.aix,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_ND_JJA_Precip_052725.jpg,"North Dakota, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",North Dakota,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_NE_JJA_Precip_052725.aix,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_NE_JJA_Precip_052725.jpg,"Nebraska, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Nebraska,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_OH_JJA_Precip_052725.aix,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-05-27,
MC_SSP245_OH_JJA_Precip_052725.jpg,"Ohio, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Ohio,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2025-05-27,
MC_SSP245_PRUSVI_JJA_Precip_031326.aix,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2026-03-13,
MC_SSP245_PRUSVI_JJA_Precip_031326.jpg,"Puerto Rico & U.S. Virgin Islands, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Puerto Rico & U.S. Virgin Islands,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2026-03-13,
MC_SSP245_Precip_Summer_Arkansas.aix,"Arkansas, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Arkansas,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-07-08,
MC_SSP245_Precip_Summer_Arkansas.png,"Arkansas, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",Arkansas,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-07,
MC_SSP245_Precip_Summer_Connecticut.aix,"Connecticut, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Connecticut,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-08-14,
MC_SSP245_Precip_Summer_Connecticut.png,"Connecticut, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",Connecticut,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-09,
MC_SSP245_Precip_Summer_Delaware.aix,"Delaware, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Delaware,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-08-26,
MC_SSP245_Precip_Summer_Delaware.png,"Delaware, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",Delaware,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-09,
MC_SSP245_Precip_Summer_Louisiana.ai,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (Adobe Illustrator source)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),Adobe Illustrator source,2025-07-08,
MC_SSP245_Precip_Summer_Louisiana.aix,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-07-08,
MC_SSP245_Precip_Summer_Louisiana.png,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-07,
MC_SSP245_Precip_Summer_Maine.aix,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-08-14,
MC_SSP245_Precip_Summer_Maine.png,"Maine, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",Maine,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-08,
MC_SSP245_Precip_Summer_Maryland.aix,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-08-26,
MC_SSP245_Precip_Summer_Maryland.png,"Maryland, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",Maryland,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-09,
MC_SSP245_Precip_Summer_Massachusetts.aix,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-08-14,
MC_SSP245_Precip_Summer_Massachusetts.png,"Massachusetts, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",Massachusetts,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-09,
MC_SSP245_Precip_Summer_Mississippi.ai,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (Adobe Illustrator source)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),Adobe Illustrator source,2025-07-08,
MC_SSP245_Precip_Summer_Mississippi.aix,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-07-08,
MC_SSP245_Precip_Summer_Mississippi.png,"Mississippi, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",Mississippi,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-07,
MC_SSP245_Precip_Summer_New Hampshire.aix,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-08-14,
MC_SSP245_Precip_Summer_New Hampshire.png,"New Hampshire, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",New Hampshire,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-09,
MC_SSP245_Precip_Summer_New Jersey.aix,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2025-08-26,
MC_SSP245_Precip_Summer_New Jersey.png,"New Jersey, Mid-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (PNG preview image)",New Jersey,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),PNG preview image,2025-07-09,
